,variable_name,definition
0,SEQN,respondent_sequence_number
1,WTDRD1,weight_day_1_dietary
2,WTDR2D,weight_day_2_dietary
3,DR1ILINE,food_component_number
4,DR1DRSTZ,dietary_recall_status
5,DR1EXMER,interviewer_id_code
6,DRABF,breast_fed_infant
7,DRDINT,number_of_days_of_intake
8,DR1DBIH,days_between_intake_and_interview
9,DR1DAY,intake_day_of_week
10,DR1LANG,language
11,DR1CCMNM,combination_food_number
12,DR1CCMTX,combination_food_type
13,DR1_020,time_of_meal
14,DR1_030Z,name_of_meal
15,DR1FS,food_source
16,DR1_040Z,ate_at_home
17,DR1IFDCD,usda_food_code
18,DR1IGRMS,grams
19,DR1IKCAL,energy_kcal
20,DR1IPROT,protein_gm
21,DR1ICARB,carbohydrate_gm
22,DR1ISUGR,sugar_gm
23,DR1IFIBE,fiber_gm
24,DR1ITFAT,fat_gm
25,DR1ISFAT,saturated_fat_gm
26,DR1IMFAT,monounsaturated_fat_gm
27,DR1IPFAT,polyunsaturated_fat_gm
28,DR1ICHOL,cholesterol_mg
29,DR1IATOC,vitamin_e_mcg
30,DR1IATOA,added_vitamin_e_mcg
31,DR1IRET,retinol_mcg
32,DR1IVARA,vitamin_a_mcg
33,DR1IACAR,alpha_carotene_mcg
34,DR1IBCAR,beta_carotene_mcg
35,DR1ICRYP,beta_cryptoxanthin_mcg
36,DR1ILYCO,lycopene_mcg
37,DR1ILZ,lutein_zeaxanthin_mcg
38,DR1IVB1,vitamin_b1_mcg
39,DR1IVB2,vitamin_b2_mcg
40,DR1INIAC,niacin_mg
41,DR1IVB6,vitamin_b6_mcg
42,DR1IFOLA,folate_mcg
43,DR1IFA,folic_acid_mcg
44,DR1IFF,food_folate_mcg
45,DR1IFDFE,folate_dfe_mcg
46,DR1ICHL,choline_mg
47,DR1IVB12,vitamin_b12_mcg
48,DR1IB12A,added_vitamin_b12_mcg
49,DR1IVC,vitamin_c_mg
50,DR1IVD,vitamin_d_mcg
51,DR1IVK,vitamin_k_mcg
52,DR1ICALC,calcium_mg
53,DR1IPHOS,phosphorus_mg
54,DR1IMAGN,magnesium_mg
55,DR1IIRON,iron_mg
56,DR1IZINC,zinc_mg
57,DR1ICOPP,copper_mg
58,DR1ISODI,sodium_mg
59,DR1IPOTA,potassium_mg
60,DR1ISELE,selenium_mcg
61,DR1ICAFF,caffeine_mg
62,DR1ITHEO,theobromine_mg
63,DR1IALCO,alcohol_gm
64,DR1IMOIS,moisture_gm
65,DR1IS040,sfa_40_gm
66,DR1IS060,sfa_60_gm
67,DR1IS080,sfa_80_gm
68,DR1IS100,sfa_100_gm
69,DR1IS120,sfa_120_gm
70,DR1IS140,sfa_140_gm
71,DR1IS160,sfa_160_gm
72,DR1IS180,sfa_180_gm
73,DR1IM161,mfa_161_gm
74,DR1IM181,mfa_181_gm
75,DR1IM201,mfa_201_gm
76,DR1IM221,mfa_221_gm
77,DR1IP182,pfa_182_gm
78,DR1IP183,pfa_183_gm
79,DR1IP184,pfa_184_gm
80,DR1IP204,pfa_204_gm
81,DR1IP205,pfa_205_gm
82,DR1IP225,pfa_225_gm
83,DR1IP226,pfa_226_gm
