,,,,,UTILIZED IMPACT FACTORS,,,,farm gate (=1),PROXY DEFINITION,ENERGY USE MJ/kg,,,,GHG Emissions (kg CO2eq/kg),,,,additional processing inputs for select foods,,,VARIANCE CALCULATIONS,,,,,,,,,
,,,,number of times specific commodity appears in FCID recipe files,CED ,GHG ,,,,,PROXY?,,,,PROXY?,,,,Energy (MJ),GHG (kgCO2eq),,Energy Use (MJ/kg),,,,,GHGE,,,,
FCID_Code,FCID_Desc,Weight_Basis_ as defined by FCID,Comments (from FCID),N_Cases,MJ / kg,CO2 eq / kg,weight Conversion Factor,conversion factor source, or processor gate (=2)?,,,# of datapoints,N-average,Std. Dev,,# of datapoints,N-average,Std. Dev,,,,basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean),basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean)
101050000,"Beet, garden, roots",weight of roots; juice,,659,1.221,0.194,1.11,AgHB,1,,DB value,1,1.100,0.000,DB value,2,0.175,0.092,,,,roots,14,1.422071429,0.574420439,0.444325419,roots,25,0.2134,0.179920353,0.147544807
101052000,"Beet, sugar",dry weight of sugar (sucrose),Sucrose is a disaccharide obtained from sugar cane and sugar beet.,49979,4.574,0.391,1,FICRCD,2,,DB value,4,4.574,0.637,DB value,4,0.391,0.076,,,,sweeteners,14,8.845345584,17.46832841,9.033479887,sweeteners,13,1.061185914,1.805599706,0.664914384
101053000,"Beet, sugar, molasses",weight of molasses,,7656,3.476,0.288,1,FICRCD,2,,DB value,4,3.476,0.378,DB value,4,0.288,0.047,,,,sweeteners,14,8.845345584,17.46832841,6.864320758,sweeteners,13,1.061185914,1.805599706,0.489336436
101067000,Burdock,weight of roots,,2,1.891,0.284,1.33,NNDSR28,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
101078000,Carrot,"weight of roots, with or without peel, excluding tops",,14222,1.326,0.092,1.12,FICRCD,1,,DB value,5,1.184,0.638,DB value,5,0.082,0.052,,,,DIRECT,5,,0.638058148,0.638058148,DIRECT,5,,0.051982689,0.051982689
101079000,"Carrot, juice",weight of juice at single strength (or standard dilution),,630,6.608,1.071,1.12,FICRCD,1,carrot,PROXY,5,1.184,0.638,PROXY,5,0.082,0.052,5.282,0.979,,roots,14,1.422071429,0.574420439,0.478174937,roots,25,0.2134,0.179920353,0.068966658
101100000,"Chicory, roots",weight of roots,,75,0.154,0.050,1,None,1,,DB value,2,0.154,0.014,DB value,2,0.050,0.009,,,,roots,14,1.422071429,0.574420439,0.062367131,roots,25,0.2134,0.179920353,0.042531688
101168000,"Ginseng, dried",dry weight of roots,,1,0.000,0.870,1,None,1,spices,PROXY,1,0.000,#DIV/0!,PROXY,2,0.870,0.000,,,,no var,,,0,0,no var,,,0,0
101190000,Horseradish,"weight of root, ground",,364,1.422,0.213,1,None,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
101251000,Parsnip,weight of roots with or without peel,,54,1.621,0.243,1.14,FICRCD,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
101314000,"Radish, roots",weight of roots,,503,1.578,0.237,1.11,FICRCD,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
101316000,"Radish, Oriental, roots",weight of roots,,7,1.806,0.271,1.27,FICRCD,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
101327000,Rutabaga,weight of roots; excluding tops,,265,1.678,0.252,1.18,FICRCD,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
101388000,"Turnip, roots",weight of roots,,59,1.749,0.498,1.23,FICRCD,1,roots,PROXY,14,1.422,0.574,DB value,2,0.405,0.078,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.341460838
103015000,"Arrowroot, flour",dry weight of flour,,987,0.625,0.079,1,None,1,cassava,PROXY,1,0.625,#DIV/0!,PROXY,1,0.079,#DIV/0!,,,,flours,9,3.7933852,1.231261217,0.2028632,flours,9,0.43042331,0.072682317,0.013306358
103017000,"Artichoke, Jerusalem",edible portion of tuber,,1,4.028,0.544,2.5,FICRCD,1,potato,PROXY,8,1.611,0.533,PROXY,17,0.217,0.118,,,,roots,14,1.422071429,0.574420439,0.650835755,roots,25,0.2134,0.179920353,0.183302724
103082000,Cassava,weight of root; dry tapioca,Includes tapioca.,26995,0.625,0.079,1,None,1,,DB value,1,0.625,0.000,DB value,1,0.079,#DIV/0!,,,,roots,14,1.422071429,0.574420439,0.252457624,roots,25,0.2134,0.179920353,0.066437319
103139000,"Dasheen, corm",weight of the corm,Includes taro.,68,1.422,0.213,1,None,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
103166000,Ginger,weight of roots; excluding peel,,4399,1.536,0.950,1.08,NNDSR28,1,roots,PROXY,14,1.422,0.574,DB value,1,0.880,#DIV/0!,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.741939599
103167000,"Ginger, dried",dry weight of roots; excluding peel,,19546,6.513,0.977,4.58,NNDSR28,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
103296000,"Potato, chips","weight of potato from chip or stick, with or without peel",,5284,19.750,1.545,1,none,2,,DB value,1,19.750,0.000,DB value,3,1.545,0.549,,,,roots,14,1.422071429,0.574420439,7.977660925,potato,17,0.217411765,0.118184738,0.839859889
103297000,"Potato, dry (granules/ flakes)",dry weight of granules or flakes,,2131,9.700,1.309,6.02,FICRCD,1,potato,PROXY,8,1.611,0.533,PROXY,17,0.217,0.118,,,,roots,14,1.422071429,0.574420439,0.650835755,potato,17,0.217411765,0.118184738,0.118184738
103298000,"Potato, flour",dry weight of flour or potato starch,,27032,6.631,0.953,1,none,2,,DB value,2,6.631,0.216,DB value,2,0.953,0.028,,,,roots,14,1.422071429,0.574420439,2.678460091,potato,17,0.217411765,0.118184738,0.51778566
103299000,"Potato, tuber, w/peel",weight of tuber;  including peel,,2630,1.611,0.217,1,none,1,,DB value,8,1.611,0.533,DB value,17,0.217,0.118,,,,DIRECT,8,,0.532794184,0.532794184,DIRECT,17,,0.118184738,0.118184738
103300000,"Potato, tuber, w/o peel",weight of tuber;  excluding peel,,15758,2.143,0.216,1.33,FICRCD,1,potato,PROXY,8,1.611,0.533,DB value,2,0.163,0.016,,,,potato,8,1.61125,0.532794184,0.532794184,potato,17,0.217411765,0.118184738,0.088334778
103366000,Sweet potato,"weight of roots, with or without peel; juice",,825,2.240,0.302,1.39,FICRCD,1,potato,PROXY,8,1.611,0.533,PROXY,17,0.217,0.118,,,,potato,8,1.61125,0.532794184,0.532794184,potato,17,0.217411765,0.118184738,0.118184738
103371000,"Tanier, corm",weight of corm,Also called Cocoyam.,8,1.422,0.213,1,None,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
103387000,Turmeric,weight of roots,,7304,1.422,0.213,1,None,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
103406000,"Yam, true",weight of roots,,24,1.869,1.021,1.16,FICRCD,1,potato,PROXY,8,1.611,0.533,DB value,1,0.880,#DIV/0!,,,,roots,14,1.422071429,0.574420439,0.650835755,roots,25,0.2134,0.179920353,0.741939599
103407000,Yam bean,weight of roots,Also called jicama.,62,1.756,0.237,1.09,FICRCD,1,potato,PROXY,8,1.611,0.533,PROXY,17,0.217,0.118,,,,roots,14,1.422071429,0.574420439,0.650835755,potato,17,0.217411765,0.118184738,0.118184738
200051000,"Beet, garden, tops",weight of leaves,Include pumpkin leaves.,15,4.593,0.332,1.79,FICRCD,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
200101000,"Chicory, tops",weight of leaves,,1557,1.215,0.064,1.146,FICRCD,1,Escarole,PROXY,3,1.060,0.286,PROXY,3,0.056,0.004,,,,greens,10,2.56572747,1.519767307,0.627873913,greens,22,0.185619741,0.097833632,0.029339941
200140000,"Dasheen, leaves",weight of the leaves,Includes taro.,3,2.566,0.186,1,None,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
301165000,"Garlic, bulb",dry weight of bulb; excluding skin (outer scales),"same as Garlic, bulb includes great headed garlic, serpent garlic, and elephant garlic.",33951,2.932,0.743,1.15,FICRCD,1,onion_bulb,PROXY,7,2.550,1.608,DB value,3,0.646,0.066,,,,onion_bulb,7,2.549678206,1.607525059,1.607525059,onion_bulb,7,0.241936889,0.155461,0.414884998
301237000,"Onion, bulb",weight of bulb; excluding outer skin,"Includes Daylily; Fritillaria, bulb; Lily; Chinese onion, bulb.",33634,2.830,0.269,1.11,FICRCD,1,,DB value,7,2.550,1.608,DB value,7,0.242,0.155,,,,DIRECT,7,,1.607525059,1.607525059,DIRECT,7,,0.155461,0.155461
301238000,"Onion, bulb, dried",dry weight of bulb; excluding outer skin,"Includes Daylily; Fritillaria, bulb; Lily; Chinese onion, bulb.",30475,22.152,2.102,8.688,NNDSR28,1,onion_bulb,PROXY,7,2.550,1.608,PROXY,7,0.242,0.155,,,,onion_bulb,7,2.549678206,1.607525059,1.607525059,onion_bulb,7,0.241936889,0.155461,0.155461
301338000,"Shallot, bulb",weight of bulb; excluding skin,,6,2.896,0.275,1.136,NNDSR28,1,onion_bulb,PROXY,7,2.550,1.608,PROXY,7,0.242,0.155,,,,onion_bulb,7,2.549678206,1.607525059,1.607525059,onion_bulb,7,0.241936889,0.155461,0.155461
302103000,"Chive, fresh leaves",weight of fresh leaves,Includes Chinese chives.,1638,1.551,0.221,1,FICRCD,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
302198000,Leek,weight of whole plant; including leaves and bulb,Includes lady leek and wild leek,67,2.550,0.069,1,none,1,onion_bulb,PROXY,7,2.550,1.608,DB value,2,0.069,0.035,,,,onion_bulb,7,2.549678206,1.607525059,1.607525059,onion_bulb,7,0.241936889,0.155461,0.04433722
302239000,"Onion, green",weight of bulb or bulb and leaves,"Includes Elegans hosta; Fritillaria, leaves, Kurrat; Beltsville bunching onion; Macrostem onion, pearl onion, potato onion, tree onion, and, Welsh onion",2507,1.231,0.085,1.04,FICRCD,1,carrot,PROXY,5,1.184,0.638,PROXY,5,0.082,0.052,,,,roots,14,1.422071429,0.574420439,0.478174937,roots,25,0.2134,0.179920353,0.068966658
401005000,"Amaranth, leafy",weight of leaf,"Includes Tampala, Chinese spinach, lambsquarter, and pokeweed (pokeberry).",12,2.566,0.186,1,None,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
401118000,"Cilantro, leaves",weight of leaves,Includes Chinese parsley and coriander leaves.,21992,1.830,0.261,1.18,FICRCD,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
401138000,"Dandelion, leaves",weight of leaves,,5,1.060,0.056,1,None,1,Escarole,PROXY,3,1.060,0.286,PROXY,3,0.056,0.004,,,,greens,10,2.56572747,1.519767307,0.627873913,greens,22,0.185619741,0.097833632,0.029339941
401144000,Dillweed,weight of leaves,,4937,1.551,0.221,1,None,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
